"ITTER107","Territory","TIPO_DATO_CIS","Indicators","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","FORMA_INNOVAZ","Information on the innovative enterprises","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",14249,,
"IT","Italy","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",28294,,
"IT","Italy","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",24.5,,
"IT","Italy","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",25.3,,
"IT","Italy","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",50.2,,
"ITC","Nord-ovest","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",7534,,
"ITC","Nord-ovest","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",6263,,
"ITC","Nord-ovest","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",14359,,
"ITC","Nord-ovest","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",26.8,,
"ITC","Nord-ovest","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",22.2,,
"ITC","Nord-ovest","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",51,,
"ITC","Nord-ovest","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",20485,,
"ITC","Nord-ovest","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",1408,,
"ITC","Nord-ovest","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",93.6,,
"ITC","Nord-ovest","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",6.4,,
"ITC","Nord-ovest","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",5838,,
"ITC","Nord-ovest","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",4847,,
"ITC","Nord-ovest","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",9800,,
"ITC","Nord-ovest","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",28.5,,
"ITC","Nord-ovest","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",23.7,,
"ITC","Nord-ovest","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",47.8,,
"ITC1","Piemonte","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",2058,,
"ITC1","Piemonte","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",1153,,
"ITC1","Piemonte","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",2788,,
"ITC1","Piemonte","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",34.3,,
"ITC1","Piemonte","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",19.2,,
"ITC1","Piemonte","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",46.5,,
"ITC1","Piemonte","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",4492,,
"ITC1","Piemonte","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",354,,
"ITC1","Piemonte","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",92.7,,
"ITC1","Piemonte","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",7.3,,
"ITC1","Piemonte","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",1188,,
"ITC1","Piemonte","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",1244,,
"ITC1","Piemonte","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",2060,,
"ITC1","Piemonte","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",26.4,,
"ITC1","Piemonte","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",27.7,,
"ITC1","Piemonte","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",45.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",24,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",17,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",38,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",30.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",21.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",48.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",53,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",85.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",14.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",16,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",14,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",23,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",30.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",26.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",43.4,,
"ITC3","Liguria","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",357,,
"ITC3","Liguria","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",569,,
"ITC3","Liguria","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",617,,
"ITC3","Liguria","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",23.1,,
"ITC3","Liguria","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",36.9,,
"ITC3","Liguria","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",40,,
"ITC3","Liguria","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",884,,
"ITC3","Liguria","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",90,,
"ITC3","Liguria","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",90.8,,
"ITC3","Liguria","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",9.2,,
"ITC3","Liguria","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",219,,
"ITC3","Liguria","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",291,,
"ITC3","Liguria","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",374,,
"ITC3","Liguria","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",24.8,,
"ITC3","Liguria","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",32.9,,
"ITC3","Liguria","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",42.3,,
"ITC4","Lombardia","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",5095,,
"ITC4","Lombardia","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",4524,,
"ITC4","Lombardia","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",10916,,
"ITC4","Lombardia","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",24.8,,
"ITC4","Lombardia","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",22,,
"ITC4","Lombardia","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",53.2,,
"ITC4","Lombardia","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",15056,,
"ITC4","Lombardia","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",955,,
"ITC4","Lombardia","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",94,,
"ITC4","Lombardia","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",6,,
"ITC4","Lombardia","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",4415,,
"ITC4","Lombardia","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",3298,,
"ITC4","Lombardia","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",7343,,
"ITC4","Lombardia","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",29.3,,
"ITC4","Lombardia","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",21.9,,
"ITC4","Lombardia","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",48.8,,
"ITD","Nord-est","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",5790,,
"ITD","Nord-est","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",3579,,
"ITD","Nord-est","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",12752,,
"ITD","Nord-est","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",26.2,,
"ITD","Nord-est","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",16.2,,
"ITD","Nord-est","POPIC","enterprises with innovation activities by type of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",57.6,,
"ITD","Nord-est","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",17419,,
"ITD","Nord-est","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",1122,,
"ITD","Nord-est","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCS","product and/or process innovative enterprises (only)","2016","2016",93.9,,
"ITD","Nord-est","PTCC","enterprises with product o process innovation activities by feature of business (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","ABORON","product/process innovation activities that were still ongoing or abandoned at the end of previous year","2016","2016",6.1,,
"ITD","Nord-est","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",3638,,
"ITD","Nord-est","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",4717,,
"ITD","Nord-est","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",9064,,
"ITD","Nord-est","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTON","product innovative enterprises  (only)","2016","2016",20.9,,
"ITD","Nord-est","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCON","process innovative enterprises  (only)","2016","2016",27.1,,
"ITD","Nord-est","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PCPT","product and process innovative enterprises","2016","2016",52,,
"ITDA","Trentino Alto Adige / Südtirol","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCON","product and/or process innovation activities (only)","2016","2016",368,,
"ITDA","Trentino Alto Adige / Südtirol","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","OMKON","organisation and/or marketing innovations (only)","2016","2016",408,,
"ITDA","Trentino Alto Adige / Südtirol","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","PTCOMK","product/process innovation activities and  organisation/marketing innovations","2016","2016",914,,
