"TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Educational level","TIME","Select time","Value","Flag Codes","Flags"
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2003","2003",6.1,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2005","2005",5.8,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2006","2006",5.8,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2007","2007",4.3,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2008","2008",5.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2009","2009",5.2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2010","2010",4.1,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2011","2011",4.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2012","2012",3.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2013","2013",2.9,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2014","2014",2.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2015","2015",2.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2016","2016",1.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2017","2017",1.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2018","2018",1.2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2019","2019",1.1,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2001","2001",17.8,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2002","2002",18.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2003","2003",21.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2005","2005",24.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2006","2006",27.2,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2007","2007",30.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2008","2008",34.6,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2009","2009",39,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2010","2010",43.7,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2011","2011",46.6,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2012","2012",49.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2013","2013",53.1,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2014","2014",57.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2015","2015",62.7,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2016","2016",67.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2017","2017",70.8,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2018","2018",74.7,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2019","2019",77.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2001","2001",2.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2002","2002",2.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2003","2003",3.2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2005","2005",3.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2006","2006",3.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2007","2007",2.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2008","2008",3.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2009","2009",3.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2010","2010",3.8,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2011","2011",3.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2012","2012",3.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2013","2013",2.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2014","2014",2.9,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2015","2015",2.9,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2016","2016",2.8,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2017","2017",2.3,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2018","2018",2.3,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y45-64","45-64 years","99","total","2019","2019",1.9,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",27,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",27.2,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",29.9,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",31.8,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",34.1,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",36.9,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",40.2,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",44.4,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",48.9,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",51.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",52.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",54.9,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",57.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",60.2,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",63.2,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",65.3,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",68.5,,
"6_INTSI","they use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",70.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",4.1,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",4.9,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",4.7,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",4.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",3.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",4.2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",3.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",3.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",3.3,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",2.6,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",2.5,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",2.4,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",2,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",1.8,,
"6_INT_QV_MESE","some times a month","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",1.6,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",13.4,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",12.5,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",13.4,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",13.8,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",13.2,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",13.8,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",16.4,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",17.1,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",17.7,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",18.2,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",18.6,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",17.7,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",17.1,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",16.8,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",16,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",14.9,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",13.8,,
"6_INT_1P_SETT","one or more times a week","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",13.3,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",70.3,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",70.5,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",67.3,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",65.4,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",63,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",60,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",57.4,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",52.5,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",48.5,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",46.6,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",45.6,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",43.2,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",40.9,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",38,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",34.9,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",33.8,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",30.6,,
"6_INTNO","they don't use Internet","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",28.3,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",7.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",8.5,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",9.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",11.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",14.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",16.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",17.7,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",21.8,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",26.4,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",28.3,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",29.6,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",33.6,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",37,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",40.3,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",44.6,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",47.6,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",52.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",54.7,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2001","2001",2.4,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2002","2002",2.2,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2003","2003",2.6,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2005","2005",2.2,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2006","2006",2.3,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2007","2007",3.6,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2008","2008",2,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2009","2009",1.5,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2010","2010",1.4,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2011","2011",1.5,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2012","2012",1.1,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2013","2013",0.9,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2014","2014",0.9,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2015","2015",0.7,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2016","2016",0.7,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2017","2017",0.8,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2018","2018",0.7,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y_GE6","6 years and over","99","total","2019","2019",0.7,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2001","2001",12.3,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2002","2002",14.6,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2003","2003",15.8,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2005","2005",19.4,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2006","2006",22.8,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2007","2007",25.7,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2008","2008",27.4,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2009","2009",32.7,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2010","2010",39,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2011","2011",42.2,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2012","2012",43.2,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2013","2013",49.5,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2014","2014",55,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2015","2015",58.7,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2016","2016",66,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2017","2017",68.8,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2018","2018",75.1,,
"6_INTTUTTI","everyday","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2019","2019",76.1,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2001","2001",3,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2002","2002",2.8,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2003","2003",3.3,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2005","2005",2.9,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2006","2006",3.4,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2007","2007",5.5,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2008","2008",2.8,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2009","2009",2,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2010","2010",2,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2011","2011",1.9,,
"6_INT_QV_ANNO","some times during the year","HSC","per 100 people with the same characteristics","9","total","Y25-44","25-44 years","99","total","2012","2012",1.1,,
